   __---~~~~--__                      __--~~~~---__
  `\---~~~~~~~~\\                    //~~~~~~~~---/'
    \/~~~~~~~~~\||                  ||/~~~~~~~~~\/
                `\\                //'
                  `\\            //'
                    ||          ||      Hey Doc!
          ______--~~~~~~~~~~~~~~~~~~--______
     ___ // _-~                        ~-_ \\ ___
    `\__)\/~                              ~\/(__/'
     _--`-___                            ___-'--_
   /~     `\ ~~~~~~~~------------~~~~~~~~ /'     ~\
  /|        `\                          /'        |\
 | `\   ______`\_         DMC        _/'______   /' |
 |   `\_~-_____\ ~-________________-~ /_____-~_/'   |
 `.     ~-__________________________________-~     .'
  `.      [_______/------|~~|------\_______]      .'
   `\--___((____)(________\/________)(____))___--/'
    |>>>>>>||                            ||<<<<<<|
    `\<<<<</'                            `\>>>>>/'

    Now, if my calculations are correct,
    when this baby hits 88 miles an hour,
    you're going to see some serious s#1t!


id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27644,Sugar Hill Rest Stop,119510,Emma,Manhattan,Harlem,40.82682,-73.94948,Entire home/apt,170,2,208,2019-12-15,1.77,1,298
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100,30,25,2011-12-10,0.19,1,67
28321,2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.6545,-73.96071,Private room,75,2,9,2018-10-05,0.07,1,1
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150,30,21,2017-08-15,0.16,1,305
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,70,30,65,2021-01-24,0.50,3,344
29628,"Comfortable, Sunny Room",127608,Chris,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,89,3,282,2020-10-13,2.14,1,318
29683,Stylish Apartment with office space Near SoHo!,125857,Uli,Manhattan,Lower East Side,40.72314,-73.99108,Entire home/apt,155,30,113,2021-02-14,0.85,2,259
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40.7672,-73.98464,Private room,99,2,66,2020-06-02,0.50,2,364
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,135,30,31,2020-11-25,0.25,1,1
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,80,30,4,2019-10-14,0.03,1,178
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,85,2,470,2021-01-18,3.59,2,365
32023,Flat Macdonough,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68271,-73.93525,Entire home/apt,125,30,263,2020-03-16,2.02,2,270
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,139,30,92,2020-02-09,0.71,3,364
32329,Fully Furnished Beautiful 1 Bedroom,139853,Victor,Manhattan,East Village,40.72741,-73.98405,Entire home/apt,160,14,3,2016-08-19,0.03,1,363
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68102,-73.93669,Entire home/apt,115,30,141,2020-02-17,1.51,2,270
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,195,4,256,2021-02-06,1.95,1,302
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72367,-73.98139,Entire home/apt,125,1,34,2019-08-15,0.26,1,269
33156,"Sunny, Clean Zen Home w pr.Bath",128669,Alex,Manhattan,Upper West Side,40.78763,-73.96862,Entire home/apt,150,120,20,2020-10-14,0.17,1,190
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97378,Private room,74,15,28,2019-08-29,0.60,2,14
36442,Great location. Spacious 2BR near PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,40.67447,-73.96619,Entire home/apt,121,30,4,2018-08-27,0.04,1,363
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79128,-73.94125,Private room,59,30,34,2017-05-29,0.27,1,191
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,40.73271,-74.00367,Entire home/apt,125,30,136,2020-03-05,1.05,1,237
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Entire home/apt,650,3,23,2018-12-31,0.22,1,354
39282,“Work-from-home” from OUR home.,168525,Gus,Brooklyn,Williamsburg,40.70978,-73.95165,Private room,50,5,227,2021-03-29,1.74,1,23
39572,1 br in a 2 br apt (Midtown West),169927,Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,2019-01-03,0.34,2,365
39586,Big room w/private bathroom and great Hudson view,12220,Corina E.,Manhattan,Upper West Side,40.77952,-73.98749,Private room,100,1,181,2019-03-31,1.42,3,308
39593,A room of own with a Manhattan view,110506,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,73,30,29,2019-12-22,0.23,1,173
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,30,337,2019-12-12,2.60,2,0
42300,Beautiful Lower East Side Loft,184755,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,450,4,58,2021-02-20,0.45,1,269
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,Entire home/apt,125,30,169,2020-01-01,1.31,3,365
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40.64633,-74.08156,Private room,70,2,176,2019-12-31,1.45,1,344
43726,"Apartment in Tribeca, NYC Panoramic VIEWS~",191091,Ev,Manhattan,Tribeca,40.721,-74.00971,Entire home/apt,250,30,13,2020-12-29,0.73,1,155
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110,30,231,2020-02-11,1.80,2,365
44288,CO-VID IMMUNE! Entire studio in West Village,193637,Sara,Manhattan,West Village,40.73737,-74.00437,Entire home/apt,146,30,88,2020-12-07,0.68,1,282
44973,Creative South Williamsburg Studio,198411,Anastasia,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,98,30,121,2020-01-01,0.94,1,84
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,40.82569,-73.93842,Entire home/apt,100,30,18,2018-12-17,0.57,1,0
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,40.68834,-73.97578,Private room,65,2,256,2021-04-02,1.99,2,167
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,395,30,13,2019-11-12,0.12,6,365
