id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4464508,Flatbush Gardens,23162890,Terrance,Brooklyn,Flatbush,40.6489,-73.96374,Private room,85,3,35,2018-10-28,0.49,2,245
4466780,Spacious Studio Private Entrance  RN 's welcomed,14049772,Vanessa,Brooklyn,Dyker Heights,40.61956,-74.00979,Entire home/apt,150,30,46,2020-08-01,0.67,2,255
4467771,Beautiful Chelsea 2 Bedroom apt,23178728,Sabina,Manhattan,Chelsea,40.74998,-73.99772,Entire home/apt,345,5,113,2020-08-17,1.59,1,93
4469650,Huge 5BR Townhouse - LEGAL NYC B&B!,23189353,Elizabeth,Manhattan,Harlem,40.80521,-73.94519,Entire home/apt,676,4,173,2020-03-04,2.44,1,339
4469679,Sunny Lower East Side Penthouse,19336493,Ryan,Manhattan,Lower East Side,40.71777,-73.99011,Entire home/apt,325,4,0,,,1,0
4471513,The Ultimate Luxury!,3740730,S,Manhattan,Theater District,40.75607,-73.98593,Hotel room,470,6,207,2020-01-27,2.87,2,332
4472978,Charming Studio in a Great location,5800619,Catia,Manhattan,Hell's Kitchen,40.75531,-73.99945,Entire home/apt,195,1,152,2020-02-23,2.47,1,336
4473664,"Midtown Manhattan 2 bdrm-2 bath, long term",10932161,Pat,Manhattan,Midtown,40.75032,-73.97298,Entire home/apt,195,180,11,2019-12-01,0.16,1,365
4476354,Large Room - Sleeps 6,1367316,Deb,Brooklyn,Prospect-Lefferts Gardens,40.66213,-73.95658,Private room,35,3,17,2019-08-06,0.24,5,358
4476605,Great 4 Families Near Parade + Park,23226529,Marc,Manhattan,Upper West Side,40.77706,-73.98407,Entire home/apt,550,4,0,,,1,0
4476945,Modern Brownstone in Harlem,23228839,Tiffany,Manhattan,Harlem,40.81056,-73.94627,Entire home/apt,149,3,32,2019-10-18,0.45,1,342
4477369,Cozy Bedroom steps to express train,12213641,Joshua,Manhattan,East Harlem,40.80325,-73.93462,Private room,55,2,3,2020-09-02,0.05,3,57
4479556,Amazing convenient 5 min  to city,23243453,Rodney,Queens,Long Island City,40.74681,-73.94586,Entire home/apt,225,1,1,2015-01-04,0.01,1,0
4479625,"Charming 1 bedroom, great location!",2380912,Helen,Brooklyn,Williamsburg,40.71234,-73.94158,Entire home/apt,135,2,0,,,1,0
4480308,"Charming, Sunny Downtown Studio",5152761,Jane,Manhattan,Chinatown,40.71759,-73.9922,Entire home/apt,200,2,23,2016-10-24,0.32,1,0
4480793,B's Suite,23249630,Sheila,Brooklyn,Bedford-Stuyvesant,40.68256,-73.94326,Entire home/apt,125,3,39,2020-01-02,0.56,2,89
4481474,B's Elegant Parlor Suite,23249630,Sheila,Brooklyn,Bedford-Stuyvesant,40.68339,-73.9422,Entire home/apt,135,3,20,2019-11-03,0.29,2,90
4481694,*NEW*  Modern Sunny Loft in Bushwick/Brooklyn,567972,Melanie,Brooklyn,Bushwick,40.69815,-73.93616,Entire home/apt,120,7,4,2017-01-06,0.06,1,248
4482158,Lovely and Spacious Park Slope Home,23256032,Katharine,Brooklyn,Park Slope,40.66767,-73.9828,Entire home/apt,160,14,2,2019-09-01,0.03,1,0
4482584,Private & clean 1 bd/1br Willamsburg w/ roofdeck.,304346,Andy,Brooklyn,Williamsburg,40.71498,-73.96437,Entire home/apt,200,2,0,,,1,0
